"","
Voting Centres
","THE NATIONALS","AUSTRALIAN LABOR PARTY","
","AUSTRALIAN GREENS","
Informal votes
","
Total votes polled
"
"1","Arcadia","79","12","7","3","5","106"
"2","Avenel","310","116","27","13","17","483"
"3","Baddaginnie","198","51","45","13","13","320"
"4","Benalla","1570","646","362","120","146","2844"
"5","Benalla West","1420","539","262","92","142","2455"
"6","Broadford","938","842","114","119","154","2167"
"7","Byrneside","151","18","14","7","11","201"
"8","Caniambo","41","4","5","0","0","50"
"9","Clonbinane","120","125","19","13","13","290"
"10","Colbinabbin","196","33","6","8","8","251"
"11","Cooma","113","28","8","4","12","165"
"12","Devenish","90","18","7","3","8","126"
"13","Dhurringile","107","25","4","2","8","146"
"14","Euroa","1374","350","139","80","76","2019"
"15","Girgarre","191","39","15","3","20","268"
"16","Goorambat","158","37","21","3","13","232"
"17","Heathcote","723","660","124","95","130","1732"
"18","Kilmore","1523","1184","107","154","162","3130"
"19","Longwood","148","41","13","9","10","221"
"20","Lurg","113","41","20","6","4","184"
"21","Merrigum","241","78","16","8","26","369"
"22","Murchison","374","120","54","21","26","595"
"23","Nagambie","743","263","63","28","75","1172"
"24","Puckapunyal","144","40","21","15","26","246"
"25","Pyalong","239","116","15","17","31","418"
"26","Redesdale","98","72","4","19","11","204"
"27","Ruffy","64","18","4","12","4","102"
"28","Rushworth","452","199","50","25","68","794"
"29","Seymour","658","321","53","63","64","1159"
"30","Seymour East","141","95","10","16","13","275"
"31","Stanhope","366","76","32","13","27","514"
"32","Strathbogie","161","45","25","34","14","279"
"33","Swanpool","256","59","44","27","17","403"
"34","Tallarook","148","71","9","12","17","257"
"35","Tatong","131","25","37","4","16","213"
"36","Thoona","90","6","14","5","3","118"
"37","Tooborac","132","57","10","16","10","225"
"38","Toolleen","103","34","9","9","8","163"
"39","Violet Town","370","139","54","53","20","636"
"40","Wandong","525","463","55","56","68","1167"
"41","Ordinary Votes Total","14999","7106","1898","1200","1496","26699"
"42","",NA,NA,NA,NA,NA,NA
"43","Postal Votes","1805","875","259","168","183","3290"
"44","Early Votes","6371","3060","644","545","515","11135"
"45","Marked As Voted Votes","0","0","0","0","0","0"
"46","Provisional Votes","198","92","23","27","14","354"
"47","Absent Votes","1376","870","211","258","197","2912"
"48","Total","24749","12003","3035","2198","2405","44390"
"49","",NA,NA,NA,NA,NA,NA
"50","Percentage of formal vote polled by candidate","58.95%","28.59%","7.23%","5.24%","",""
